station,datetime,temp,pressure,humidity,windspeed,winddeg,cloudall,weathermain,day_of_week,hour,traffic_level,sea_level,population,population_density,household,household_density,green_space,green_space_area,factory_num,factory_area,lat,lon,pm10,pm2_5,so2,no2,o3,co,season_Hot Season,season_Rainy Season,season_Cool Season,station_10T,station_11T,station_12T,station_15T,station_3T,station_5T,station_61T,pm10_log,so2_log,no2_log,o3_log,co_log,predicted_pm2_5
10T,2025-04-07 18:00:00,302.85,1011.0,68.0,3.1,202.0,60.0,Clouds,0.0,18.0,4.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,501.26,370.82,87.74,227.57,0.0,9292.6,0.0,0.0,0.0,1,0,0,0,0,0,0,6.21911791390002,4.4857107459507635,5.431842509153028,0.0,9.137081270199266,370.47969901225173
10T,2025-04-07 19:00:00,302.69,1011.0,70.33333333333333,2.786666666666666,204.0,73.33333333333333,Clouds,0.0,19.0,3.333333333333333,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,442.59,317.75,79.16,186.44,0.0,8010.86,0.0,0.0,0.0,1,0,0,0,0,0,0,6.094900712390739,4.384024637336554,5.2334587941995405,0.0,8.988678222843724,318.7742697202085
10T,2025-04-07 20:00:00,302.53000000000003,1011.0,72.66666666666667,2.4733333333333336,206.0,86.66666666666667,Clouds,0.0,20.0,2.666666666666667,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,371.89,258.24,71.53,148.06,0.0,6462.1,0.0,0.0,0.0,1,0,0,0,0,0,0,5.921283469984221,4.284000269375321,5.004348909453547,0.0,8.773864357833896,245.7417440921129
10T,2025-04-07 21:00:00,302.37,1011.0,75.0,2.16,208.0,100.0,Clouds,0.0,21.0,2.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,320.9,214.7,66.76,120.64,0.0,5287.17,0.0,0.0,0.0,1,0,0,0,0,0,0,5.774240938304763,4.215972050343799,4.801065862809164,0.0,8.57322752927499,185.59198577490614
10T,2025-04-07 22:00:00,302.30333333333334,1011.6666666666666,74.33333333333333,2.4633333333333334,206.33333333333331,100.0,Clouds,0.3333333333333333,14.0,1.6666666666666667,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,294.13,190.72,63.9,101.45,0.0,4699.71,0.0,0.0,0.0,1,0,0,0,0,0,0,5.687415937235904,4.1728476237100445,4.629374874684909,0.0,8.455468840118947,183.07715250228955
10T,2025-04-07 23:00:00,302.2366666666667,1012.3333333333334,73.66666666666667,2.7666666666666666,204.66666666666663,100.0,Clouds,0.6666666666666666,7.0,1.3333333333333337,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,302.43,194.37,67.71,93.22,0.0,4913.33,0.0,0.0,0.0,1,0,0,0,0,0,0,5.715150941393362,4.229894749042985,4.545632473271895,0.0,8.499910705893479,179.46428344613724
10T,2025-04-08 00:00:00,302.17,1013.0,73.0,3.07,203.0,100.0,Clouds,1.0,0.0,1.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,352.77,231.68,82.02,93.22,0.02,6515.5,0.0,0.0,0.0,1,0,0,0,0,0,0,5.868646984461759,4.419081542624893,4.545632473271895,0.019802627296179712,8.782092700970775,234.85852895308147
10T,2025-04-08 01:00:00,302.76666666666665,1013.3333333333334,66.66666666666667,3.283333333333333,197.66666666666663,100.0,Clouds,1.0,1.0,1.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,427.59,287.87,88.69,105.56,0.33,9399.41,0.0,0.0,0.0,1,0,0,0,0,0,0,6.060500750989405,4.496359280129911,4.668708206792079,0.2851789422336624,9.148508584328177,300.7209147912883
10T,2025-04-08 02:00:00,303.36333333333334,1013.6666666666666,60.333333333333336,3.4966666666666666,192.33333333333331,100.0,Clouds,1.0,2.0,1.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,503.08,342.86,86.78,156.28,3.58,11001.59,0.0,0.0,0.0,1,0,0,0,0,0,0,6.2227349856338,4.474833684260088,5.058027656398856,1.5216989981260935,9.305885978610892,372.48642855924425
10T,2025-04-08 03:00:00,303.96,1014.0,54.0,3.71,187.0,100.0,Clouds,1.0,3.0,1.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,662.85,469.09,92.51,293.37,95.84,10894.78,0.0,0.0,0.0,1,0,0,0,0,0,0,6.498056220341911,4.5380683824473556,5.684837479488428,4.573060132069858,9.296130837289713,497.49687154761915
10T,2025-04-08 04:00:00,304.99,1013.3333333333334,52.66666666666666,3.86,187.66666666666663,99.33333333333331,Clouds,1.0,4.0,1.6666666666666663,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,473.23,346.32,65.8,106.93,306.13,4806.52,0.0,0.0,0.0,1,0,0,0,0,0,0,6.161692436075576,4.2017030805426,4.681482868837255,5.7272711107251055,8.477936637620688,367.6156599243905
10T,2025-04-08 05:00:00,306.02,1012.6666666666666,51.333333333333336,4.01,188.33333333333331,98.66666666666669,Clouds,1.0,5.0,2.333333333333333,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,280.61,216.96,51.02,65.12,243.19,3017.43,0.0,0.0,0.0,1,0,0,0,0,0,0,5.64052313501701,3.9516282600205055,4.191471272952824,5.497946610797179,8.01249210764126,213.81784044173259
10T,2025-04-08 06:00:00,307.05,1012.0,50.0,4.16,189.0,98.0,Clouds,1.0,6.0,3.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,177.18,135.93,48.16,70.6,143.05,2456.67,0.0,0.0,0.0,1,0,0,0,0,0,0,5.182794275292498,3.895080284697834,4.2710950739666,4.970160461530537,7.806969025620635,127.94397419450841
10T,2025-04-08 07:00:00,306.68,1011.0,50.333333333333336,4.38,188.66666666666663,98.66666666666669,Clouds,1.0,7.0,3.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,146.37,108.44,57.7,97.33,52.21,2643.59,0.0,0.0,0.0,1,0,0,0,0,0,0,4.992946431225172,4.072439726834051,4.588329168792065,3.9742463486082777,7.880271322825397,83.31800393754291
10T,2025-04-08 08:00:00,306.31,1010.0,50.66666666666666,4.6000000000000005,188.33333333333331,99.33333333333331,Clouds,1.0,8.0,3.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,167.93,122.11,75.34,130.24,6.08,3337.86,0.0,0.0,0.0,1,0,0,0,0,0,0,5.129484427934637,4.3351970473170836,4.877027708092901,1.9572739077056285,8.113384710343448,95.85137033208302
10T,2025-04-08 09:00:00,305.94,1009.0,51.0,4.82,188.0,100.0,Clouds,1.0,9.0,3.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,192.82,140.96,88.69,142.57,0.56,4005.43,0.0,0.0,0.0,1,0,0,0,0,0,0,5.266929893306404,4.496359280129911,4.966822721139603,0.44468582126144574,8.295655849456859,111.59689454311075
10T,2025-04-08 10:00:00,305.02,1009.3333333333334,55.0,4.6066666666666665,185.66666666666663,95.0,Clouds,1.0,10.0,3.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,223.54,163.77,103.95,157.65,2.75,4913.33,0.0,0.0,0.0,1,0,0,0,0,0,0,5.414053865030634,4.653484046266642,5.066700518029204,1.3217558399823195,8.499910705893479,131.91311047273982
10T,2025-04-08 11:00:00,304.1,1009.6666666666666,59.0,4.3933333333333335,183.33333333333331,90.0,Clouds,1.0,11.0,3.0,20.0,179899.0,1452.45,105461.0,0.09,3.95,0.01,493.0,4770457.0,13.7291,100.775,284.08,208.47,127.79,189.19,0.48,6195.07,0.0,0.0,0.0,1,0,0,0,0,0,0,5.65276984263367,4.858183170904579,5.24802357249357,0.3920420877760237,8.731670499084304,173.89176743697485
11T,2025-04-07 18:00:00,301.94,1011.0,79.0,3.58,189.0,81.0,Clouds,0.0,18.0,4.0,26.0,101330.0,3437.36,44465.0,0.15,13.76,0.05,77.0,144736.0,13.7898,100.4486,158.51,93.29,19.31,63.06,0.16,2216.34,0.0,0.0,0.0,1,0,0,0,0,0,0,5.072106616184357,3.011113375592293,4.159820144181012,0.1484200051182733,7.704063558254741,98.42110957695766
11T,2025-04-07 19:00:00,301.9766666666667,1011.0,77.0,3.11,195.0,81.33333333333333,Clouds,0.0,19.0,3.333333333333333,26.0,101330.0,3437.36,44465.0,0.15,13.76,0.05,77.0,144736.0,13.7898,100.4486,135.16,82.05,16.93,54.84,1.57,1869.2,0.0,0.0,0.0,1,0,0,0,0,0,0,4.913830664825064,2.8864752876170416,4.022490458454117,0.9439058989071284,7.533800656001347,75.45368086957795
11T,2025-04-07 20:00:00,302.0133333333333,1011.0,75.0,2.64,201.0,81.66666666666667,Clouds,0.0,20.0,2.666666666666667,26.0,101330.0,3437.36,44465.0,0.15,13.76,0.05,77.0,144736.0,13.7898,100.4486,125.12,78.54,15.14,47.98,2.62,1708.98,0.0,0.0,0.0,1,0,0,0,0,0,0,4.83723383467686,2.7813006628418027,3.891412051524022,1.2864740258376797,7.444236953521875,67.44096029231626
11T,2025-04-07 21:00:00,302.05,1011.0,73.0,2.17,207.0,82.0,Clouds,0.0,21.0,2.0,26.0,101330.0,3437.36,44465.0,0.15,13.76,0.05,77.0,144736.0,13.7898,100.4486,126.32,81.13,15.14,45.93,1.83,1682.28,0.0,0.0,0.0,0,1,0,0,0,0,0,4.846703602413892,2.7813006628418027,3.8486571298063263,1.0402767116551463,7.428499549931057,81.7223674650684
11T,2025-04-07 22:00:00,301.95,1011.6666666666666,73.0,2.466666666666667,199.0,85.0,Clouds,0.3333333333333333,14.0,1.6666666666666667,26.0,101330.0,3437.36,44465.0,0.15,13.76,0.05,77.0,144736.0,13.7898,100.4486,133.86,87.28,16.45,45.24,0.53,1762.39,0.0,0.0,0.0,0,1,0,0,0,0,0,4.904237203306436,2.859339648648436,3.833845224364122,0.4252677354043441,7.474993371773742,91.61149049530542
11T,2025-04-07 23:00:00,301.85,1012.3333333333334,73.0,2.763333333333333,191.0,88.0,Clouds,0.6666666666666666,7.0,1.3333333333333337,26.0,101330.0,3437.36,44465.0,0.15,13.76,0.05,77.0,144736.0,13.7898,100.4486,143.88,94.97,19.55,45.93,0.05,1922.61,0.0,0.0,0.0,0,1,0,0,0,0,0,4.9759058135751575,3.022860940942244,3.8486571298063263,0.048790164169432,7.5619589079759795,96.73992249856228
11T,2025-04-08 00:00:00,301.75,1013.0,73.0,3.06,183.0,91.0,Clouds,1.0,0.0,1.0,26.0,101330.0,3437.36,44465.0,0.15,13.76,0.05,77.0,144736.0,13.7898,100.4486,164.53,110.96,26.7,48.67,0.13,2403.26,0.0,0.0,0.0,0,1,0,0,0,0,0,5.109152447272074,3.3214324131932926,3.905401129119259,0.12221763272424921,7.784997442885179,112.59946436112885
11T,2025-04-08 01:00:00,302.07,1013.3333333333334,65.66666666666667,3.1166666666666667,182.66666666666663,94.0,Clouds,1.0,1.0,1.0,26.0,101330.0,3437.36,44465.0,0.15,13.76,0.05,77.0,144736.0,13.7898,100.4486,225.52,155.66,52.93,63.06,0.2,4272.46,0.0,0.0,0.0,0,1,0,0,0,0,0,5.422833241245605,3.9876869093491356,4.159820144181012,0.18232155679395465,8.360179082552907,165.94083663985293
11T,2025-04-08 02:00:00,302.39,1013.6666666666666,58.333333333333336,3.1733333333333333,182.33333333333331,97.0,Clouds,1.0,2.0,1.0,26.0,101330.0,3437.36,44465.0,0.15,13.76,0.05,77.0,144736.0,13.7898,100.4486,321.02,222.28,83.92,87.05,0.53,7156.37,0.0,0.0,0.0,0,1,0,0,0,0,0,5.774613655416792,4.441709636835055,4.4779048349422155,0.4252677354043441,8.875897874040996,236.93534292324003
11T,2025-04-08 03:00:00,302.71,1014.0,51.0,3.23,182.0,100.0,Clouds,1.0,3.0,1.0,26.0,101330.0,3437.36,44465.0,0.15,13.76,0.05,77.0,144736.0,13.7898,100.4486,429.32,298.92,113.49,163.14,2.15,9826.66,0.0,0.0,0.0,0,1,0,0,0,0,0,6.064529117964987,4.740487482935721,5.100719722201566,1.1474024528375417,9.192956138008054,329.2994022923428
11T,2025-04-08 04:00:00,304.23,1013.0,48.0,3.8466666666666662,178.66666666666666,99.66666666666669,Clouds,1.0,4.0,1.6666666666666663,26.0,101330.0,3437.36,44465.0,0.15,13.76,0.05,77.0,144736.0,13.7898,100.4486,336.37,244.97,96.32,165.88,92.98,4753.11,0.0,0.0,0.0,0,1,0,0,0,0,0,5.821180250924531,4.578004517915322,5.117274991252462,4.54308199367467,8.46676478606221,267.4432837301588
11T,2025-04-08 05:00:00,305.75,1012.0,45.0,4.463333333333333,175.33333333333334,99.33333333333331,Clouds,1.0,5.0,2.333333333333333,26.0,101330.0,3437.36,44465.0,0.15,13.76,0.05,77.0,144736.0,13.7898,100.4486,332.61,265.34,71.53,95.96,197.41,3791.81,0.0,0.0,0.0,0,1,0,0,0,0,0,5.809972646054504,4.284000269375321,4.574298522321004,5.290335596806379,8.240862448158994,261.88466228371584
11T,2025-04-08 06:00:00,307.27,1011.0,42.0,5.08,172.0,99.0,Clouds,1.0,6.0,3.0,26.0,101330.0,3437.36,44465.0,0.15,13.76,0.05,77.0,144736.0,13.7898,100.4486,314.56,260.78,64.85,79.51,203.13,3631.59,0.0,0.0,0.0,0,1,0,0,0,0,0,5.754348838226889,4.18737942818929,4.388381400311889,5.3187570457854925,8.197701171462356,246.14691154601914
11T,2025-04-08 07:00:00,307.0233333333333,1010.3333333333334,43.66666666666666,4.8933333333333335,173.66666666666666,99.33333333333331,Clouds,1.0,7.0,3.0,26.0,101330.0,3437.36,44465.0,0.15,13.76,0.05,77.0,144736.0,13.7898,100.4486,242.74,204.83,54.36,71.97,144.48,3177.64,0.0,0.0,0.0,0,1,0,0,0,0,0,5.496102083395356,4.0138573113094145,4.290048397777529,4.980038620118788,8.064208711340086,191.1414068373567
11T,2025-04-08 08:00:00,306.77666666666664,1009.6666666666666,45.333333333333336,4.706666666666666,175.33333333333334,99.66666666666669,Clouds,1.0,8.0,3.0,26.0,101330.0,3437.36,44465.0,0.15,13.76,0.05,77.0,144736.0,13.7898,100.4486,184.61,154.86,51.02,73.34,92.98,2777.1,0.0,0.0,0.0,0,1,0,0,0,0,0,5.223647698211007,3.9516282600205055,4.308649164869106,4.54308199367467,7.929522519786639,134.54234091387877
11T,2025-04-08 09:00:00,306.53,1009.0,47.0,4.52,177.0,100.0,Clouds,1.0,9.0,3.0,26.0,101330.0,3437.36,44465.0,0.15,13.76,0.05,77.0,144736.0,13.7898,100.4486,140.32,115.24,49.59,76.77,58.65,2483.37,0.0,0.0,0.0,0,1,0,0,0,0,0,4.951026822490944,3.923753928303845,4.353755752706852,4.0884941485439255,7.817774385262055,95.06565808299928
11T,2025-04-08 10:00:00,305.57,1009.3333333333334,51.66666666666666,4.6866666666666665,174.33333333333334,97.33333333333331,Clouds,1.0,10.0,3.0,26.0,101330.0,3437.36,44465.0,0.15,13.76,0.05,77.0,144736.0,13.7898,100.4486,154.83,122.54,65.8,119.27,16.09,3204.35,0.0,0.0,0.0,0,1,0,0,0,0,0,5.048765669457524,4.2017030805426,4.789739215322525,2.8384934971274993,8.072576567760581,109.14251169810893
11T,2025-04-08 11:00:00,304.61,1009.6666666666666,56.333333333333336,4.853333333333333,171.66666666666666,94.66666666666669,Clouds,1.0,11.0,3.0,26.0,101330.0,3437.36,44465.0,0.15,13.76,0.05,77.0,144736.0,13.7898,100.4486,206.37,161.06,83.92,154.91,1.06,4592.9,0.0,0.0,0.0,0,1,0,0,0,0,0,5.334504637309749,4.441709636835055,5.0492789176884605,0.7227059828014898,8.43248461548927,151.2920352439423
12T,2025-04-07 18:00:00,302.51,1011.0,64.0,3.59,189.0,57.0,Clouds,0.0,18.0,4.0,3.0,118634.0,10275.79,78240.0,0.68,2.3,0.02,272.0,297638.0,13.8225,100.5147,121.95,72.09,5.31,31.19,12.34,1615.52,0.0,0.0,0.0,0,1,0,0,0,0,0,4.811777768662202,1.8421356765531218,3.4716558453107167,2.590767040487478,7.388030969498477,71.8458692629942
12T,2025-04-07 19:00:00,302.36,1011.0,66.33333333333333,3.08,195.33333333333331,65.33333333333333,Clouds,0.0,19.0,3.333333333333333,3.0,118634.0,10275.79,78240.0,0.68,2.3,0.02,272.0,297638.0,13.8225,100.5147,106.44,68.7,3.82,21.25,21.46,1455.31,0.0,0.0,0.0,0,1,0,0,0,0,0,4.676932552214982,1.572773928062509,3.1023420086122493,3.111735949310297,7.283661118181981,66.68195898119474
12T,2025-04-07 20:00:00,302.21,1011.0,68.66666666666667,2.5700000000000003,201.66666666666663,73.66666666666667,Clouds,0.0,20.0,2.666666666666667,3.0,118634.0,10275.79,78240.0,0.68,2.3,0.02,272.0,297638.0,13.8225,100.5147,99.19,69.36,3.1,16.62,22.89,1375.2,0.0,0.0,0.0,0,1,0,0,0,0,0,4.607068383271171,1.410986973710262,2.8690346205080335,3.173459961337718,7.227081356768379,68.24659287721309
12T,2025-04-07 21:00:00,302.06,1011.0,71.0,2.06,208.0,82.0,Clouds,0.0,21.0,2.0,3.0,118634.0,10275.79,78240.0,0.68,2.3,0.02,272.0,297638.0,13.8225,100.5147,97.42,71.79,3.04,15.77,19.31,1361.85,0.0,0.0,0.0,0,1,0,0,0,0,0,4.589244035437832,1.3962446919730587,2.8195915758351173,3.011113375592293,7.217333374283138,66.31435136135765
12T,2025-04-07 22:00:00,301.94,1011.6666666666666,71.33333333333333,2.4033333333333333,200.33333333333331,85.0,Clouds,0.3333333333333333,14.0,1.6666666666666667,3.0,118634.0,10275.79,78240.0,0.68,2.3,0.02,272.0,297638.0,13.8225,100.5147,97.11,74.51,3.31,16.97,14.31,1388.55,0.0,0.0,0.0,0,1,0,0,0,0,0,4.5860892981753,1.4609379041156565,2.8887037007954675,2.7285062096695922,7.23673523270211,66.05673077317857
